"","IDG_RIUU","COD_PLAN","PAPA_tot","TOT_CREDITOS","NO_MATRICULAS","CREDITOS_AP","AVANCE","PROM_AVANCE","NO_PERDIDAS","ACTIVO"
"653","020062513","2513",3.66730769230769,52,4,52,31.9,7.97,0,0
"654","020082513","2513",4.37823529411765,170,12,170,104.29,8.69,0,0
"655","020102513","2513",3.71746031746032,63,5,53,32.52,6.5,3,0
"656","020112513","2513",2.55172413793103,29,2,15,9.2,4.6,4,0
"657","020132513","2513",4.31288343558282,163,12,163,100,8.33,0,1
"658","020152513","2513",4.23381294964029,139,10,139,85.28,8.53,0,0
"659","020162513","2513",4.312,150,11,150,92.02,8.37,0,0
"660","020172513","2513",3.97832167832168,143,12,139,85.28,7.11,1,1
"661","020182513","2513",3.787,100,9,96,58.9,6.54,1,1
"662","020202513","2513",4.63128834355828,163,11,163,100,9.09,0,1
"663","020212513","2513",2.45833333333333,24,2,10,6.13,3.06,4,0
"664","020222513","2513",4.47121212121212,132,10,132,80.98,8.1,0,1
"665","020232513","2513",3.83623188405797,138,11,128,78.53,7.14,3,1
"666","020242513","2513",3.44678899082569,109,10,100,61.35,6.14,3,1
"667","020292513","2513",4.01493506493507,154,11,151,92.64,8.42,1,1
"668","020302513","2513",4.26084337349397,166,11,160,98.16,8.92,2,1
"669","020312513","2513",3.90779220779221,154,11,147,90.18,8.2,2,1
"670","020322513","2513",3.21650485436893,103,11,80,49.08,4.46,7,1
"671","020342513","2513",4.54566473988439,173,11,173,106.13,9.65,0,0
"672","020352513","2513",4.53461538461538,156,10,156,95.71,9.57,0,0
"673","020362513","2513",4.00460526315789,152,11,152,93.25,8.48,0,1
"674","020372513","2513",4.39470588235294,170,11,170,104.29,9.48,0,0
"675","020382513","2513",4.43571428571429,154,11,154,94.48,8.59,0,1
"676","020392513","2513",3.81746987951807,166,11,152,93.25,8.48,4,1
"677","020422513","2513",3.73618421052631,152,9,132,80.98,9,6,1
"678","020432513","2513",4.12183098591549,142,10,139,85.28,8.53,1,1
"679","020442513","2513",2.64655172413793,58,6,40,24.54,4.09,3,0
"680","020452513","2513",3.88725490196079,102,10,96,58.9,5.89,2,1
"681","020462513","2513",4.48650306748466,163,11,163,100,9.09,0,1
"682","020472513","2513",4.3,167,11,167,102.45,9.31,0,1
"683","020482513","2513",4.45882352941176,17,1,17,10.43,10.43,0,0
"684","020492513","2513",4.27579617834395,157,11,154,94.48,8.59,1,1
"685","020502513","2513",4.41438356164384,146,11,146,89.57,8.14,0,1
"686","020532513","2513",4.33636363636364,143,11,143,87.73,7.98,0,1
"687","020542513","2513",4.31111111111111,144,10,144,88.34,8.83,0,1
"688","020562513","2513",4.43612903225806,155,10,155,95.09,9.51,0,1
"689","020572513","2513",4.03974358974359,156,11,153,93.87,8.53,1,1
"690","020582513","2513",4.1042735042735,117,10,114,69.94,6.99,1,1
"691","020592513","2513",0.553846153846154,13,1,0,0,0,4,0
"692","020602513","2513",2.11176470588235,17,1,3,1.84,1.84,4,0
"693","020612513","2513",3.9625,128,10,128,78.53,7.85,0,0
"694","020622513","2513",3.4375,128,11,101,61.96,5.63,8,1
"695","020632513","2513",2.39411764705882,17,1,7,4.29,4.29,3,0
