"","IDG_RIUU","COD_PLAN","PAPA_tot","GRUPO","PLAN","TRIAGE"
"623","018082514","2514","3.3",4,"ESTADÍSTICA","III"
"720","019702514","2514","3.3",4,"ESTADÍSTICA","III"
"961","014732515","2515","3.3",4,"FARMACIA","III"
"964","017832515","2515","3.3",4,"FARMACIA","III"
"965","017862515","2515","3.3",4,"FARMACIA","III"
"969","019312515","2515","3.2",4,"FARMACIA","III"
"972","019502515","2515","3.4",4,"FARMACIA","III"
"973","019562515","2515","3.4",4,"FARMACIA","III"
"974","019732515","2515","3.3",4,"FARMACIA","III"
"976","020012515","2515","3.3",4,"FARMACIA","III"
"978","020152515","2515","2.8",4,"FARMACIA","III"
"997","021442515","2515","3.4",4,"FARMACIA","III"
"1019","022062515","2515","3.2",4,"FARMACIA","III"
"1026","022232515","2515","3.2",4,"FARMACIA","III"
"1028","022292515","2515","3.3",4,"FARMACIA","III"
"1031","022442515","2515","3.1",4,"FARMACIA","III"
"1032","022462515","2515","3.2",4,"FARMACIA","III"
"1065","023012515","2515","3.2",4,"FARMACIA","III"
"1108","023642515","2515","3.2",4,"FARMACIA","III"
"1152","024292515","2515","3.3",4,"FARMACIA","III"
"1167","024592515","2515","3.2",4,"FARMACIA","III"
"1170","024702515","2515","3.1",4,"FARMACIA","III"
"1216","025292515","2515","3.4",4,"FARMACIA","III"
"1220","025332515","2515","3.2",4,"FARMACIA","III"
"1556","011692516","2516","3.2",4,"FÍSICA","III"
"1561","014872516","2516","3.4",4,"FÍSICA","III"
"1562","014992516","2516","2.9",4,"FÍSICA","III"
"1566","015682516","2516","3",4,"FÍSICA","III"
"1569","015882516","2516","3.3",4,"FÍSICA","III"
"1570","016102516","2516","3.1",4,"FÍSICA","III"
"1571","016342516","2516","3.3",4,"FÍSICA","III"
"1572","016392516","2516","3.3",4,"FÍSICA","III"
"1574","016452516","2516","3.4",4,"FÍSICA","III"
"1576","016652516","2516","3.3",4,"FÍSICA","III"
"1578","016722516","2516","3.1",4,"FÍSICA","III"
"1583","016982516","2516","3.1",4,"FÍSICA","III"
"1584","017132516","2516","3.3",4,"FÍSICA","III"
"1587","017342516","2516","2.8",4,"FÍSICA","III"
"1594","017752516","2516","3.2",4,"FÍSICA","III"
"1596","017772516","2516","3.4",4,"FÍSICA","III"
"1598","017882516","2516","3.2",4,"FÍSICA","III"
"1599","017922516","2516","3.1",4,"FÍSICA","III"
"1601","018002516","2516","3",4,"FÍSICA","III"
"1610","018372516","2516","3",4,"FÍSICA","III"
"1612","018402516","2516","3.1",4,"FÍSICA","III"
"1613","018462516","2516","3.4",4,"FÍSICA","III"
"1635","019592516","2516","3.1",4,"FÍSICA","III"
"1641","019742516","2516","3.3",4,"FÍSICA","III"
"1667","020252516","2516","3.4",4,"FÍSICA","III"
"1671","020472516","2516","3.4",4,"FÍSICA","III"
"1704","021172516","2516","3",4,"FÍSICA","III"
"1706","021202516","2516","3.2",4,"FÍSICA","III"
"1712","021282516","2516","3.1",4,"FÍSICA","III"
"2200","008102517","2517","3",4,"GEOLOGÍA","III"
"2203","009602517","2517","3.4",4,"GEOLOGÍA","III"
"2205","009962517","2517","3",4,"GEOLOGÍA","III"
"2207","010752517","2517","3.4",4,"GEOLOGÍA","III"
"2208","010942517","2517","3.2",4,"GEOLOGÍA","III"
"2213","011342517","2517","3.1",4,"GEOLOGÍA","III"
"2215","011442517","2517","3.2",4,"GEOLOGÍA","III"
"2217","011532517","2517","3.3",4,"GEOLOGÍA","III"
"2238","012632517","2517","3",4,"GEOLOGÍA","III"
"2257","012962517","2517","3.3",4,"GEOLOGÍA","III"
"2293","013722517","2517","3.3",4,"GEOLOGÍA","III"
"2415","015632517","2517","3.4",4,"GEOLOGÍA","III"
"2577","015522518","2518","2.8",4,"MATEMÁTICAS","III"
"2579","015542518","2518","2.9",4,"MATEMÁTICAS","III"
"2580","015652518","2518","3.4",4,"MATEMÁTICAS","III"
"2582","016212518","2518","3",4,"MATEMÁTICAS","III"
"2583","016302518","2518","2.7",4,"MATEMÁTICAS","III"
"2585","017232518","2518","3.2",4,"MATEMÁTICAS","III"
"2586","017402518","2518","3.3",4,"MATEMÁTICAS","III"
"2592","018282518","2518","3.1",4,"MATEMÁTICAS","III"
"2594","018362518","2518","3.4",4,"MATEMÁTICAS","III"
"2596","018592518","2518","3.3",4,"MATEMÁTICAS","III"
"2608","019302518","2518","3.1",4,"MATEMÁTICAS","III"
"2637","020282518","2518","3.3",4,"MATEMÁTICAS","III"
"2646","020502518","2518","3.3",4,"MATEMÁTICAS","III"
"2655","020642518","2518","3",4,"MATEMÁTICAS","III"
"2825","012532519","2519","3.4",4,"QUÍMICA","III"
"2827","013202519","2519","3.2",4,"QUÍMICA","III"
"2828","013912519","2519","3.2",4,"QUÍMICA","III"
"2829","014502519","2519","3.3",4,"QUÍMICA","III"
"2832","015372519","2519","3.3",4,"QUÍMICA","III"
"2833","015392519","2519","2.8",4,"QUÍMICA","III"
"2834","015422519","2519","3.4",4,"QUÍMICA","III"
"2835","015482519","2519","3.4",4,"QUÍMICA","III"
"2841","016892519","2519","3",4,"QUÍMICA","III"
"2843","016932519","2519","3.2",4,"QUÍMICA","III"
"2846","017212519","2519","3.1",4,"QUÍMICA","III"
"2849","017512519","2519","3.3",4,"QUÍMICA","III"
"2851","017552519","2519","3",4,"QUÍMICA","III"
"2853","017732519","2519","3",4,"QUÍMICA","III"
"2854","017802519","2519","3.1",4,"QUÍMICA","III"
"2861","018182519","2519","3.1",4,"QUÍMICA","III"
"2862","018212519","2519","3.4",4,"QUÍMICA","III"
"2863","018272519","2519","3.2",4,"QUÍMICA","III"
"2865","018292519","2519","3.2",4,"QUÍMICA","III"
"2866","018362519","2519","3.1",4,"QUÍMICA","III"
"2871","018632519","2519","3",4,"QUÍMICA","III"
"2876","018762519","2519","3.3",4,"QUÍMICA","III"
"2877","018792519","2519","3.3",4,"QUÍMICA","III"
"2896","019392519","2519","3.4",4,"QUÍMICA","III"
"2909","019732519","2519","3.2",4,"QUÍMICA","III"
"2915","019942519","2519","3.4",4,"QUÍMICA","III"
"2922","020142519","2519","3.3",4,"QUÍMICA","III"
"2927","020252519","2519","3.4",4,"QUÍMICA","III"
"2944","020792519","2519","3",4,"QUÍMICA","III"
"2949","020852519","2519","3.3",4,"QUÍMICA","III"
"2953","020972519","2519","3",4,"QUÍMICA","III"
"2963","021192519","2519","3.2",4,"QUÍMICA","III"
"2986","021632519","2519","3.1",4,"QUÍMICA","III"
"3021","022382519","2519","3.4",4,"QUÍMICA","III"
"3040","022612519","2519","3.2",4,"QUÍMICA","III"
"3379","000182933","2933","3.2",4,"CIENCIAS DE LA COMPUTACIÓN","III"
"3404","000802933","2933","3",4,"CIENCIAS DE LA COMPUTACIÓN","III"
"3416","001062933","2933","3.3",4,"CIENCIAS DE LA COMPUTACIÓN","III"
